time,value
2024-04-02T16:05:23.425,0.5803
2024-04-02T16:06:03.394,0.5802
2024-04-02T16:06:57.449,0.5798
2024-04-02T16:09:16.440,0.5793
2024-04-02T16:13:15.036,0.583
2024-04-02T16:17:38.762,0.5798
2024-04-02T16:21:03.873,0.5776
2024-04-02T16:25:46.508,0.5792
2024-04-02T16:31:14.296,0.5829
2024-04-02T16:38:00.986,0.5849
2024-04-02T16:45:15.462,0.582
2024-04-02T16:51:46.557,0.586
2024-04-02T16:58:08.453,0.5853
2024-04-02T17:06:32.100,0.5844
2024-04-02T17:16:01.726,0.584
2024-04-02T17:22:46.487,0.5829
2024-04-02T17:31:21.512,0.5836
2024-04-02T17:40:45.883,0.5852
2024-04-02T17:50:20.093,0.5833
2024-04-02T17:59:20.239,0.5864
2024-04-02T18:04:59.115,0.5857
2024-04-02T18:19:01.013,0.5865
2024-04-02T18:30:34.115,0.585
2024-04-02T18:43:47.201,0.5848
2024-04-02T18:51:30.918,0.588
2024-04-02T18:59:02.687,0.5867
2024-04-02T19:10:03.216,0.5873
2024-04-02T19:19:33.492,0.5854
2024-04-02T19:30:50.866,0.5859
2024-04-02T19:41:46.567,0.5875
2024-04-02T19:50:55.991,0.5877
2024-04-02T19:56:58.338,0.5872
2024-04-02T20:02:21.279,0.5862
2024-04-02T20:07:27.040,0.5839
2024-04-02T20:07:34.048,0.5852
2024-04-02T20:11:20.712,0.587
2024-04-02T20:17:30.172,0.5891
2024-04-02T20:25:10.337,0.5866
2024-04-02T20:35:55.336,0.5855
2024-04-02T20:43:10.124,0.5846
2024-04-02T20:50:11.019,0.5832
2024-04-02T20:56:29.540,0.5825
2024-04-02T20:59:09.836,0.5832
2024-04-02T21:07:18.320,0.581
2024-04-02T21:16:24.920,0.5818
2024-04-02T21:22:44.554,0.58
2024-04-02T21:26:21.255,0.5774
2024-04-02T21:32:19.804,0.5773
2024-04-02T21:40:24.744,0.5813
2024-04-02T21:54:43.519,0.5805
2024-04-02T22:06:20.480,0.5807
2024-04-02T22:18:09.476,0.581
2024-04-02T22:33:44.618,0.5837
2024-04-02T22:48:50.248,0.5848
2024-04-02T22:58:48.431,0.5854
2024-04-02T23:11:56.408,0.5839
2024-04-02T23:28:03.297,0.5823
2024-04-02T23:36:44.117,0.5798
2024-04-02T23:51:38.950,0.5807
2024-04-03T00:02:02.367,0.5812
2024-04-03T00:10:15.752,0.5824
2024-04-03T00:15:07.555,0.5794
2024-04-03T00:18:07.927,0.5816
2024-04-03T00:21:13.375,0.578
2024-04-03T00:23:00.964,0.5766
2024-04-03T00:26:20.176,0.5755
2024-04-03T00:27:21.939,0.5738
2024-04-03T00:29:37.829,0.5739
2024-04-03T00:32:55.112,0.5723
2024-04-03T00:33:28.449,0.5709
2024-04-03T00:34:06.282,0.5707
2024-04-03T00:34:24.694,0.5699
2024-04-03T00:35:04.894,0.5699
2024-04-03T00:36:03.327,0.5703
2024-04-03T00:36:23.238,0.5678
2024-04-03T00:36:36.768,0.5671
2024-04-03T00:37:01.018,0.5668
2024-04-03T00:37:25.570,0.5657
2024-04-03T00:37:33.693,0.5654
2024-04-03T00:37:45.631,0.5641
2024-04-03T00:37:56.186,0.5625
2024-04-03T00:38:11.285,0.5646
2024-04-03T00:38:33.589,0.5627
2024-04-03T00:38:58.658,0.5639
2024-04-03T00:39:36.800,0.5651
2024-04-03T00:40:31.592,0.5675
2024-04-03T00:41:57.966,0.5692
2024-04-03T00:43:26.180,0.5701
2024-04-03T00:45:37.713,0.5726
2024-04-03T00:48:03.349,0.5722
2024-04-03T00:50:22.874,0.5747
2024-04-03T00:53:04.117,0.5735
2024-04-03T00:55:29.823,0.5721
2024-04-03T00:59:10.057,0.5753
2024-04-03T01:01:36.912,0.5753
2024-04-03T01:02:59.047,0.5742
2024-04-03T01:04:00.083,0.5739
2024-04-03T01:05:11.909,0.5727
2024-04-03T01:09:00.560,0.5707
2024-04-03T01:13:16.607,0.5731
2024-04-03T01:16:44.461,0.5764
2024-04-03T01:19:58.839,0.576
2024-04-03T01:25:40.334,0.5728
2024-04-03T01:32:34.361,0.577
2024-04-03T01:37:52.109,0.5786
2024-04-03T01:41:19.966,0.5805
2024-04-03T01:46:16.112,0.5818
2024-04-03T01:49:20.494,0.582
2024-04-03T01:51:59.422,0.583
